data,Altza-Roteta,Amara Berri,Amara Erdialdea,Bidebieta,Egia,Gros,Intxaurrondo,Loiola,Ondarreta,Parte Zaharra
2020/03/18,3,7,3,0,1,3,1,1,2,2
2020/03/19,3,8,4,0,3,6,2,1,5,2
2020/03/20,5,12,6,0,3,7,2,2,6,4
2020/03/21,5,14,7,0,3,10,2,2,9,5
2020/03/22,7,15,7,1,4,12,2,2,16,6
2020/03/23,8,16,8,2,5,13,3,3,22,8
2020/03/24,12,20,11,2,6,16,3,3,24,9
2020/03/25,13,24,15,3,8,20,5,5,31,13
2020/03/26,14,30,18,3,9,25,7,7,40,16
2020/03/27,16,40,18,6,11,27,9,9,48,16
2020/03/28,17,42,20,8,13,30,10,10,57,17
2020/03/29,18,50,21,8,16,34,10,11,59,17
2020/03/30,18,51,25,9,18,36,10,12,59,18
2020/03/31,22,53,28,9,18,39,11,13,62,18
2020/04/01,28,55,31,9,19,42,12,15,70,21
2020/04/02,30,58,33,9,20,44,12,16,70,22
2020/04/03,30,58,33,9,20,44,12,16,70,22
2020/04/04,35,62,33,10,23,50,16,16,81,23
2020/04/05,37,62,33,11,23,53,16,16,84,23
2020/04/06,39,63,33,11,23,55,17,16,85,25
2020/04/07,44,67,33,11,25,57,17,16,88,26
2020/04/08,45,67,33,13,26,57,17,16,93,26
2020/04/09,53,69,35,13,28,59,19,18,94,26
2020/04/10,56,69,35,13,29,61,20,19,97,26
2020/04/11,61,70,36,14,30,61,20,19,99,28
2020/04/12,80,72,36,14,30,63,20,19,100,29
2020/04/13,86,72,36,14,31,64,20,19,104,29
2020/04/14,95,73,37,15,33,64,20,19,105,29
2020/04/15,96,73,37,15,33,64,19,19,105,30
2020/04/16,100,73,36,15,33,64,20,19,107,30
2020/04/17,103,74,36,17,34,66,21,19,107,30
2020/04/18,122,74,35,17,35,66,23,19,108,31
2020/04/19,129,76,35,17,35,66,23,19,108,31
2020/04/20,129,76,35,17,35,66,23,19,108,31
2020/04/21,129,77,35,17,35,67,23,19,108,31
2020/04/22,130,76,37,18,35,70,25,18,108,32
2020/04/23,132,77,38,18,39,70,26,18,109,33
2020/04/24,133,79,39,18,46,71,25,18,116,34
2020/04/25,133,85,39,19,49,74,27,19,119,37
2020/04/26,133,85,40,19,50,75,27,19,119,37
2020/04/27,135,85,40,19,50,75,27,19,119,37
2020/04/28,136,85,42,19,51,75,27,19,121,37
2020/04/29,133,86,43,19,52,77,29,19,124,38
2020/04/30,135,88,43,20,54,78,30,20,128,39
2020/05/01,136,92,43,21,56,79,31,21,132,39
2020/05/02,136,92,43,21,56,78,31,21,132,40
2020/05/03,136,92,43,21,56,78,31,21,132,40
2020/05/04,136,92,43,21,56,78,31,21,132,40
2020/05/05,137,92,44,20,56,78,31,21,132,40
2020/05/06,138,92,44,21,56,82,32,20,135,40
2020/05/07,140,92,44,21,56,81,33,20,135,40
2020/05/08,143,97,48,21,62,84,33,22,137,41
2020/05/09,144,99,48,21,63,84,34,22,138,45
2020/05/10,146,100,48,22,66,87,34,22,139,45
2020/05/11,146,100,48,22,66,87,34,23,139,45
2020/05/12,148,101,48,22,66,87,34,23,139,45
